transaction_id,year,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,revenue,hour,day_bin,day_of_week_num,day_of_week,week_number,time_bucket,is_weekend
13,2025,7:45:51,1,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,3.0,7,0,2,Wednesday,1,Morning (6–11),False
14,2025,7:48:19,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,7,0,2,Wednesday,1,Morning (6–11),False
15,2025,7:52:36,2,5,Lower Manhattan,87,3.0,Coffee,Barista Espresso,Ouro Brasileiro shot,6.0,7,0,2,Wednesday,1,Morning (6–11),False
16,2025,7:59:58,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,7,0,2,Wednesday,1,Morning (6–11),False
17,2025,7:59:58,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,7,0,2,Wednesday,1,Morning (6–11),False
18,2025,8:00:18,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,8,0,2,Wednesday,1,Morning (6–11),False
19,2025,8:00:39,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9.0,8,0,2,Wednesday,1,Morning (6–11),False
20,2025,8:11:45,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75,8,0,2,Wednesday,1,Morning (6–11),False
21,2025,8:17:27,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,8,0,2,Wednesday,1,Morning (6–11),False
22,2025,8:24:26,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,8,0,2,Wednesday,1,Morning (6–11),False
23,2025,8:24:26,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,8,0,2,Wednesday,1,Morning (6–11),False
24,2025,8:29:38,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,8,0,2,Wednesday,1,Morning (6–11),False
25,2025,8:31:23,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,3.75,8,0,2,Wednesday,1,Morning (6–11),False
26,2025,8:33:08,1,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,8,0,2,Wednesday,1,Morning (6–11),False
27,2025,8:33:08,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,8,0,2,Wednesday,1,Morning (6–11),False
28,2025,8:35:03,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,8,0,2,Wednesday,1,Morning (6–11),False
29,2025,8:35:03,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,8,0,2,Wednesday,1,Morning (6–11),False
30,2025,8:41:57,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,8,0,2,Wednesday,1,Morning (6–11),False
31,2025,8:52:03,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75,8,0,2,Wednesday,1,Morning (6–11),False
32,2025,8:52:32,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,8,0,2,Wednesday,1,Morning (6–11),False
33,2025,8:54:33,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7.0,8,0,2,Wednesday,1,Morning (6–11),False
34,2025,8:56:27,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5.0,8,0,2,Wednesday,1,Morning (6–11),False
35,2025,8:57:46,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,8,0,2,Wednesday,1,Morning (6–11),False
36,2025,8:58:55,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,8,0,2,Wednesday,1,Morning (6–11),False
37,2025,9:00:12,1,5,Lower Manhattan,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4.0,9,0,2,Wednesday,1,Morning (6–11),False
38,2025,9:00:24,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,0,2,Wednesday,1,Morning (6–11),False
39,2025,9:07:13,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,3.0,9,0,2,Wednesday,1,Morning (6–11),False
40,2025,9:08:09,2,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,9,0,2,Wednesday,1,Morning (6–11),False
41,2025,9:08:13,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,9,0,2,Wednesday,1,Morning (6–11),False
42,2025,9:10:30,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,9,0,2,Wednesday,1,Morning (6–11),False
43,2025,9:10:30,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,9,0,2,Wednesday,1,Morning (6–11),False
44,2025,9:11:06,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,9,0,2,Wednesday,1,Morning (6–11),False
45,2025,9:11:06,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,9,0,2,Wednesday,1,Morning (6–11),False
46,2025,9:13:01,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,9,0,2,Wednesday,1,Morning (6–11),False
47,2025,9:13:15,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,9,0,2,Wednesday,1,Morning (6–11),False
48,2025,9:14:16,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,2.5,9,0,2,Wednesday,1,Morning (6–11),False
49,2025,9:14:17,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,9,0,2,Wednesday,1,Morning (6–11),False
50,2025,9:14:25,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,9,0,2,Wednesday,1,Morning (6–11),False
51,2025,9:14:41,1,8,Hell's Kitchen,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,3.0,9,0,2,Wednesday,1,Morning (6–11),False
52,2025,9:15:09,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,9,0,2,Wednesday,1,Morning (6–11),False
53,2025,9:15:13,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,6.0,9,0,2,Wednesday,1,Morning (6–11),False
54,2025,9:19:21,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,9,0,2,Wednesday,1,Morning (6–11),False
55,2025,9:19:26,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,9,0,2,Wednesday,1,Morning (6–11),False
56,2025,9:21:08,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,9,0,2,Wednesday,1,Morning (6–11),False
57,2025,9:22:17,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,3.0,9,0,2,Wednesday,1,Morning (6–11),False
58,2025,9:22:46,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45,9,0,2,Wednesday,1,Morning (6–11),False
59,2025,9:29:56,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,9,0,2,Wednesday,1,Morning (6–11),False
60,2025,9:29:56,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,9,0,2,Wednesday,1,Morning (6–11),False
61,2025,9:29:57,1,8,Hell's Kitchen,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0,9,0,2,Wednesday,1,Morning (6–11),False
62,2025,9:34:17,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,9,0,2,Wednesday,1,Morning (6–11),False
63,2025,9:40:13,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,4.25,9,0,2,Wednesday,1,Morning (6–11),False
64,2025,9:41:22,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,9,0,2,Wednesday,1,Morning (6–11),False
65,2025,9:41:22,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,9,0,2,Wednesday,1,Morning (6–11),False
66,2025,9:44:20,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,9,0,2,Wednesday,1,Morning (6–11),False
67,2025,9:44:46,1,5,Lower Manhattan,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,9,0,2,Wednesday,1,Morning (6–11),False
68,2025,9:46:46,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,Espresso shot,6.0,9,0,2,Wednesday,1,Morning (6–11),False
69,2025,9:47:40,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,0,2,Wednesday,1,Morning (6–11),False
70,2025,9:50:44,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,Espresso shot,6.0,9,0,2,Wednesday,1,Morning (6–11),False
71,2025,9:50:44,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,9,0,2,Wednesday,1,Morning (6–11),False
72,2025,9:52:58,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,9,0,2,Wednesday,1,Morning (6–11),False
73,2025,9:53:28,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,9,0,2,Wednesday,1,Morning (6–11),False
74,2025,9:53:44,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,9,0,2,Wednesday,1,Morning (6–11),False
75,2025,9:53:44,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25,9,0,2,Wednesday,1,Morning (6–11),False
76,2025,9:53:49,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,9,0,2,Wednesday,1,Morning (6–11),False
77,2025,9:54:46,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,9,0,2,Wednesday,1,Morning (6–11),False
78,2025,9:55:16,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,6.0,9,0,2,Wednesday,1,Morning (6–11),False
79,2025,9:56:30,1,8,Hell's Kitchen,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,9,0,2,Wednesday,1,Morning (6–11),False
80,2025,10:00:39,2,8,Hell's Kitchen,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0,10,0,2,Wednesday,1,Morning (6–11),False
81,2025,10:03:55,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,10,0,2,Wednesday,1,Morning (6–11),False
82,2025,10:14:49,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,10,0,2,Wednesday,1,Morning (6–11),False
83,2025,10:14:49,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,10,0,2,Wednesday,1,Morning (6–11),False
84,2025,10:16:30,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0,10,0,2,Wednesday,1,Morning (6–11),False
85,2025,10:16:33,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,10,0,2,Wednesday,1,Morning (6–11),False
86,2025,10:18:14,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,10,0,2,Wednesday,1,Morning (6–11),False
87,2025,10:18:52,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,10,0,2,Wednesday,1,Morning (6–11),False
88,2025,10:19:42,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,10,0,2,Wednesday,1,Morning (6–11),False
89,2025,10:24:19,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,10,0,2,Wednesday,1,Morning (6–11),False
90,2025,10:25:22,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,10,0,2,Wednesday,1,Morning (6–11),False
91,2025,10:25:45,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7.0,10,0,2,Wednesday,1,Morning (6–11),False
92,2025,10:25:45,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,10,0,2,Wednesday,1,Morning (6–11),False
93,2025,10:27:48,2,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,10,0,2,Wednesday,1,Morning (6–11),False
94,2025,10:30:07,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,10,0,2,Wednesday,1,Morning (6–11),False
95,2025,10:30:07,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,3.25,10,0,2,Wednesday,1,Morning (6–11),False
96,2025,10:35:47,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,10,0,2,Wednesday,1,Morning (6–11),False
97,2025,10:41:53,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,10,0,2,Wednesday,1,Morning (6–11),False
98,2025,10:47:53,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,10,0,2,Wednesday,1,Morning (6–11),False
99,2025,10:49:13,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,10,0,2,Wednesday,1,Morning (6–11),False
100,2025,10:49:51,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,9.5,10,0,2,Wednesday,1,Morning (6–11),False
101,2025,10:51:17,1,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,10,0,2,Wednesday,1,Morning (6–11),False
102,2025,10:52:44,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,10,0,2,Wednesday,1,Morning (6–11),False
103,2025,10:52:44,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,3.75,10,0,2,Wednesday,1,Morning (6–11),False
104,2025,10:56:14,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,10,0,2,Wednesday,1,Morning (6–11),False
105,2025,10:56:14,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,10,0,2,Wednesday,1,Morning (6–11),False
106,2025,11:01:48,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,11,0,2,Wednesday,1,Morning (6–11),False
107,2025,11:01:58,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,3.75,11,0,2,Wednesday,1,Morning (6–11),False
108,2025,11:01:58,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5,11,0,2,Wednesday,1,Morning (6–11),False
109,2025,11:03:25,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,11,0,2,Wednesday,1,Morning (6–11),False
110,2025,11:03:25,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5,11,0,2,Wednesday,1,Morning (6–11),False
111,2025,11:04:32,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,8.5,11,0,2,Wednesday,1,Morning (6–11),False
112,2025,11:08:11,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,11,0,2,Wednesday,1,Morning (6–11),False
113,2025,11:08:59,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,11,0,2,Wednesday,1,Morning (6–11),False
114,2025,11:09:01,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,11,0,2,Wednesday,1,Morning (6–11),False
115,2025,11:10:21,1,3,Astoria,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,11,0,2,Wednesday,1,Morning (6–11),False
116,2025,11:10:21,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,11,0,2,Wednesday,1,Morning (6–11),False
117,2025,11:10:58,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,11,0,2,Wednesday,1,Morning (6–11),False
118,2025,11:12:29,1,3,Astoria,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,11,0,2,Wednesday,1,Morning (6–11),False
119,2025,11:16:02,2,3,Astoria,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,11,0,2,Wednesday,1,Morning (6–11),False
120,2025,11:21:00,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,11,0,2,Wednesday,1,Morning (6–11),False
121,2025,11:21:04,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,11,0,2,Wednesday,1,Morning (6–11),False
122,2025,11:21:14,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,11,0,2,Wednesday,1,Morning (6–11),False
123,2025,11:23:01,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2,11,0,2,Wednesday,1,Morning (6–11),False
124,2025,11:23:43,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,11,0,2,Wednesday,1,Morning (6–11),False
125,2025,11:23:43,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,11,0,2,Wednesday,1,Morning (6–11),False
126,2025,11:25:35,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,11,0,2,Wednesday,1,Morning (6–11),False
127,2025,11:25:37,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,11,0,2,Wednesday,1,Morning (6–11),False
128,2025,11:28:15,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5.0,11,0,2,Wednesday,1,Morning (6–11),False
129,2025,11:28:29,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,11,0,2,Wednesday,1,Morning (6–11),False
130,2025,11:29:25,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,11,0,2,Wednesday,1,Morning (6–11),False
131,2025,11:29:57,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,11,0,2,Wednesday,1,Morning (6–11),False
132,2025,11:29:57,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,11,0,2,Wednesday,1,Morning (6–11),False
133,2025,11:30:22,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,11,0,2,Wednesday,1,Morning (6–11),False
134,2025,11:31:35,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,11,0,2,Wednesday,1,Morning (6–11),False
135,2025,11:31:43,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,11,0,2,Wednesday,1,Morning (6–11),False
136,2025,11:31:43,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,3.25,11,0,2,Wednesday,1,Morning (6–11),False
137,2025,11:31:53,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,11,0,2,Wednesday,1,Morning (6–11),False
138,2025,11:31:53,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5,11,0,2,Wednesday,1,Morning (6–11),False
139,2025,11:39:14,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75,11,0,2,Wednesday,1,Morning (6–11),False
140,2025,11:39:14,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,11,0,2,Wednesday,1,Morning (6–11),False
141,2025,11:40:26,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5.0,11,0,2,Wednesday,1,Morning (6–11),False
142,2025,11:43:57,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,11,0,2,Wednesday,1,Morning (6–11),False
143,2025,11:44:09,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75,11,0,2,Wednesday,1,Morning (6–11),False
144,2025,11:47:13,1,3,Astoria,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,3.0,11,0,2,Wednesday,1,Morning (6–11),False
145,2025,11:48:56,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0,11,0,2,Wednesday,1,Morning (6–11),False
146,2025,11:49:42,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,11,0,2,Wednesday,1,Morning (6–11),False
147,2025,11:49:42,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25,11,0,2,Wednesday,1,Morning (6–11),False
148,2025,11:50:16,2,3,Astoria,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,6.0,11,0,2,Wednesday,1,Morning (6–11),False
149,2025,11:50:23,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,11,0,2,Wednesday,1,Morning (6–11),False
150,2025,11:50:58,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,11,0,2,Wednesday,1,Morning (6–11),False
151,2025,11:51:30,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,11,0,2,Wednesday,1,Morning (6–11),False
152,2025,11:52:31,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,11,0,2,Wednesday,1,Morning (6–11),False
153,2025,11:57:17,2,3,Astoria,37,3.0,Coffee,Barista Espresso,Espresso shot,6.0,11,0,2,Wednesday,1,Morning (6–11),False
154,2025,11:57:59,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,11,0,2,Wednesday,1,Morning (6–11),False
155,2025,11:57:59,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,11,0,2,Wednesday,1,Morning (6–11),False
156,2025,11:58:15,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,11,0,2,Wednesday,1,Morning (6–11),False
157,2025,12:00:20,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5,12,0,2,Wednesday,1,Afternoon (12–16),False
158,2025,12:01:00,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,12,0,2,Wednesday,1,Afternoon (12–16),False
159,2025,12:01:20,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,12,0,2,Wednesday,1,Afternoon (12–16),False
160,2025,12:01:20,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5,12,0,2,Wednesday,1,Afternoon (12–16),False
161,2025,12:03:09,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75,12,0,2,Wednesday,1,Afternoon (12–16),False
162,2025,12:03:38,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,12,0,2,Wednesday,1,Afternoon (12–16),False
163,2025,12:03:43,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,12,0,2,Wednesday,1,Afternoon (12–16),False
164,2025,12:04:22,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7.0,12,0,2,Wednesday,1,Afternoon (12–16),False
165,2025,12:05:31,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5.0,12,0,2,Wednesday,1,Afternoon (12–16),False
166,2025,12:06:29,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,12,0,2,Wednesday,1,Afternoon (12–16),False
